Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Genome assembly ID
UP000192330	Primorskyibacter flagellatus	1387277	4189	C:99.9%[S:99.8%,D:0.1%],F:0.0%,M:0.1%,n:833	Unknown	GCA_900176485.1
UP000192333	Aquiflexum balticum DSM 16537	758820	4889	C:99.2%[S:99.0%,D:0.3%],F:0.0%,M:0.8%,n:768	Unknown	GCA_900176595.1
UP000192343	Marispirochaeta aestuarii	1963862	3763	C:98.6%[S:98.0%,D:0.6%],F:0.6%,M:0.9%,n:345	Unknown	GCA_002087085.1
UP000192359	Rothia nasimurium	85336	2215	C:96.3%[S:96.3%,D:0.0%],F:0.2%,M:3.5%,n:537	Close to standard (high value)	GCA_002087015.1
UP000192366	Mycolicibacterium bacteremicum (Mycobacterium bacteremicum)	564198	5602	C:99.7%[S:99.3%,D:0.4%],F:0.0%,M:0.3%,n:743	Standard	GCA_002086115.1
UP000192374	Mycobacterium noviomagense	459858	4410	C:99.1%[S:98.8%,D:0.3%],F:0.3%,M:0.7%,n:743	Unknown	GCA_002086415.1
UP000192380	Pantoea stewartii subsp. stewartii DC283	660596	4563	C:99.3%[S:99.1%,D:0.2%],F:0.0%,M:0.7%,n:440	Unknown	GCA_002082215.1
UP000192393	Moheibacter sediminis	1434700	2974	C:98.5%[S:98.2%,D:0.3%],F:0.3%,M:1.2%,n:733	Unknown	GCA_900176425.1
UP000192411	Mycolicibacterium tusciae	75922	5839	C:99.6%[S:99.2%,D:0.4%],F:0.3%,M:0.1%,n:743	Standard	GCA_002086795.1
UP000192418	Desulfocicer vacuolatum DSM 3385	1121400	4083	C:98.2%[S:97.0%,D:1.2%],F:0.3%,M:1.5%,n:599	Unknown	GCA_900176365.1
UP000192439	Microcystis aeruginosa PCC 7806SL	1903187	5151	C:98.8%[S:97.1%,D:1.7%],F:0.3%,M:0.9%,n:1493	Unknown	GCA_002095975.1
UP000192472	Reichenbachiella faecimaris	692418	3972	C:95.1%[S:94.5%,D:0.5%],F:0.3%,M:4.7%,n:768	Unknown	GCA_900176375.1
UP000192511	Legionella anisa	28082	3825	C:99.7%[S:99.2%,D:0.5%],F:0.0%,M:0.3%,n:772	Unknown	GCA_002082905.2
UP000192513	Mycobacterium paraseoulense	590652	5691	C:99.1%[S:98.4%,D:0.7%],F:0.3%,M:0.7%,n:743	Unknown	GCA_002086475.1
UP000192527	Halobacillus mangrovi	402384	3948	C:99.6%[S:99.3%,D:0.2%],F:0.0%,M:0.4%,n:450	Unknown	GCA_002097535.1
UP000192534	Mycolicibacterium rhodesiae (Mycobacterium rhodesiae)	36814	5672	C:99.9%[S:99.5%,D:0.4%],F:0.0%,M:0.1%,n:743	Unknown	GCA_002086695.1
UP000192566	Mycobacterium heidelbergense	53376	4472	C:98.8%[S:98.3%,D:0.5%],F:0.3%,M:0.9%,n:743	Outlier (high value)	GCA_002086215.1
UP000192569	Thermanaeromonas toyohensis ToBE	698762	3229	C:94.3%[S:92.7%,D:1.6%],F:0.4%,M:5.3%,n:247	Unknown	GCA_900176005.1
UP000192582	Deinococcus hopiensis KR-140	695939	5843	C:90.3%[S:89.5%,D:0.8%],F:4.8%,M:4.8%,n:124	Unknown	GCA_900176165.1
UP000192591	Saccharomonospora piscinae	687388	4456	C:99.7%[S:99.7%,D:0.0%],F:0.0%,M:0.3%,n:292	Unknown	GCA_002077655.1
UP000192601	Mycobacterium scrofulaceum	1783	5643	C:99.3%[S:98.8%,D:0.5%],F:0.1%,M:0.5%,n:743	Unknown	GCA_002086735.1
UP000192602	Nitratiruptor tergarcus DSM 16512	1069081	1934	C:96.8%[S:96.1%,D:0.7%],F:0.2%,M:3.0%,n:591	Unknown	GCA_900176045.1
UP000192610	Niastella yeongjuensis	354355	6725	C:98.5%[S:97.0%,D:1.5%],F:0.7%,M:0.7%,n:402	Unknown	GCA_002077935.1
UP000192707	Mycobacterium arosiense ATCC BAA-1401 = DSM 45069	1265311	5553	C:99.1%[S:98.7%,D:0.4%],F:0.1%,M:0.8%,n:743	Unknown	GCA_002086125.1
UP000192708	Polynucleobacter kasalickyi	1938817	2757	C:93.2%[S:92.7%,D:0.4%],F:1.7%,M:5.1%,n:688	Unknown	GCA_900176405.1
UP000192726	Streptomyces gilvosporeus	553510	7131	C:99.4%[S:99.1%,D:0.3%],F:0.1%,M:0.6%,n:1579	Unknown	GCA_002082195.1
UP000192731	Desulfonispora thiosulfatigenes DSM 11270	656914	2407	C:97.3%[S:97.0%,D:0.4%],F:0.8%,M:1.9%,n:264	Unknown	GCA_900176035.1
UP000192761	Andreprevotia lacus DSM 23236	1121001	4303	C:98.9%[S:98.9%,D:0.0%],F:0.4%,M:0.7%,n:804	Unknown	GCA_900176275.1
UP000192769	Pantoea latae	1964541	4526	C:99.8%[S:99.1%,D:0.7%],F:0.0%,M:0.2%,n:440	Standard	GCA_002077695.1
UP000192775	Cnuibacter physcomitrellae	1619308	4009	C:98.9%[S:97.8%,D:1.1%],F:0.0%,M:1.1%,n:537	Unknown	GCA_002096055.1
UP000192796	Niastella vici	1703345	7808	C:98.8%[S:96.3%,D:2.5%],F:0.5%,M:0.7%,n:402	Unknown	GCA_002077945.1
UP000192801	Mycolicibacterium insubricum	444597	4200	C:97.3%[S:97.3%,D:0.0%],F:1.2%,M:1.5%,n:743	Close to standard (low value)	GCA_002086255.1
UP000192840	Lentzea albidocapillata	40571	8155	C:99.7%[S:99.3%,D:0.3%],F:0.0%,M:0.3%,n:292	Standard	GCA_900176525.1
UP000192900	Pantoea alhagi	1891675	3878	C:100.0%[S:99.5%,D:0.5%],F:0.0%,M:0.0%,n:440	Unknown	GCA_002101395.1
UP000192907	Pseudobacteriovorax antillogorgiicola	1513793	6344	C:87.9%[S:85.5%,D:2.4%],F:4.8%,M:7.3%,n:124	Unknown	GCA_900177345.1
UP000192934	Allosphingosinicella indica	941907	2739	C:94.5%[S:94.3%,D:0.2%],F:0.1%,M:5.4%,n:1018	Unknown	GCA_900177405.1
UP000192940	Paenibacillus uliginis N3/975	1313296	5718	C:99.6%[S:98.4%,D:1.1%],F:0.2%,M:0.2%,n:450	Unknown	GCA_900177425.1
UP000193006	Halalkalibacter krulwichiae	199441	4515	C:96.7%[S:95.8%,D:0.9%],F:0.9%,M:2.4%,n:450	Unknown	GCA_002109385.1
UP000193009	Lentilactobacillus parabuchneri	152331	2624	C:99.8%[S:99.5%,D:0.2%],F:0.0%,M:0.2%,n:402	Close to standard (high value)	GCA_002095825.1
UP000193010	Mycobacterium florentinum	292462	5631	C:99.2%[S:98.7%,D:0.5%],F:0.0%,M:0.8%,n:743	Outlier (high value)	GCA_002101635.1
UP000193017	Paracoccus contaminans	1945662	2745	C:94.5%[S:94.4%,D:0.1%],F:0.2%,M:5.3%,n:833	Outlier (low value)	GCA_002105555.1
UP000193040	Mycobacterium simiae (Mycobacterium habana)	1784	6072	C:99.2%[S:98.5%,D:0.7%],F:0.1%,M:0.7%,n:743	Unknown	GCA_002093075.1
UP000193077	Falsiruegeria litorea R37	1200284	4492	C:99.5%[S:99.3%,D:0.2%],F:0.1%,M:0.4%,n:833	Unknown	GCA_900172225.1
UP000193104	Pantoea wallisii	1076551	3765	C:90.5%[S:90.2%,D:0.2%],F:0.2%,M:9.3%,n:440	Unknown	GCA_002095485.1
UP000193118	Neisseria dentiae	194197	2500	C:99.6%[S:99.4%,D:0.2%],F:0.1%,M:0.2%,n:804	Unknown	GCA_002108595.1
UP000193136	Geothermobacter hydrogeniphilus	1969733	3263	C:96.3%[S:95.5%,D:0.8%],F:0.3%,M:3.3%,n:870	Unknown	GCA_002093115.1
UP000193146	Burkholderia puraquae	1904757	7166	C:100.0%[S:99.6%,D:0.4%],F:0.0%,M:0.0%,n:688	Unknown	GCA_002099195.1
UP000193160	Streptococcus oralis subsp. oralis	1891914	1938	C:100.0%[S:100.0%,D:0.0%],F:0.0%,M:0.0%,n:402	Unknown	GCA_002096195.1
UP000193228	Paraburkholderia susongensis	1515439	6846	C:99.9%[S:99.1%,D:0.7%],F:0.0%,M:0.1%,n:688	Unknown	GCA_900177725.1
UP000193247	Mycobacterium decipiens	1430326	4492	C:99.6%[S:99.3%,D:0.3%],F:0.0%,M:0.4%,n:743	Unknown	GCA_002104675.1
UP000193334	Sedimentisphaera salicampi	1941349	2335	C:62.7%[S:62.2%,D:0.5%],F:1.4%,M:35.9%,n:571	Unknown	GCA_002117005.1
UP000193387	Mycobacterium saskatchewanense	220927	5294	C:99.2%[S:98.9%,D:0.3%],F:0.3%,M:0.5%,n:743	Unknown	GCA_002101875.1
UP000193391	Thalassospira mesophila	1293891	3848	C:96.1%[S:95.6%,D:0.5%],F:0.2%,M:3.7%,n:617	Unknown	GCA_002115755.1
UP000193427	Piscinibacter gummiphilus	946333	5678	C:99.1%[S:98.8%,D:0.3%],F:0.0%,M:0.9%,n:688	Unknown	GCA_002116905.1
UP000193431	Nonlabens spongiae	331648	2989	C:98.6%[S:98.6%,D:0.0%],F:0.3%,M:1.1%,n:733	Close to standard (high value)	GCA_002117125.1
UP000193435	Carnobacterium iners	1073423	2071	C:98.5%[S:98.3%,D:0.2%],F:0.0%,M:1.5%,n:402	Unknown	GCA_900177385.1
UP000193450	Oceanicoccus sagamiensis	716816	3870	C:95.2%[S:94.3%,D:0.9%],F:0.2%,M:4.6%,n:913	Unknown	GCA_002117105.1
UP000193466	Neisseria zoodegmatis	326523	2328	C:99.9%[S:99.9%,D:0.0%],F:0.0%,M:0.1%,n:804	Unknown	GCA_002108575.1
UP000193564	Mycolicibacterium doricum	126673	3539	C:99.3%[S:99.1%,D:0.3%],F:0.0%,M:0.7%,n:743	Outlier (low value)	GCA_002102115.1
UP000193711	Rathayibacter oskolensis	1891671	3628	C:99.4%[S:98.9%,D:0.6%],F:0.0%,M:0.6%,n:537	Unknown	GCA_900177245.1
UP000193870	Palleronia marisminoris	315423	3664	C:98.2%[S:98.0%,D:0.2%],F:0.1%,M:1.7%,n:833	Unknown	GCA_900172315.1
UP000193907	Mycobacterium celatum	28045	4310	C:99.3%[S:99.2%,D:0.1%],F:0.0%,M:0.7%,n:743	Unknown	GCA_002101595.1
UP000193925	Acidithiobacillus ferrivorans	160808	3811	C:97.7%[S:97.7%,D:0.0%],F:0.9%,M:1.4%,n:219	Unknown	GCA_900174455.1
UP000193926	Marivita geojedonensis	1123756	3878	C:98.8%[S:98.7%,D:0.1%],F:0.2%,M:1.0%,n:833	Unknown	GCA_002115805.1
UP000193933	Pantoea conspicua	472705	3578	C:92.3%[S:92.0%,D:0.2%],F:0.0%,M:7.7%,n:440	Unknown	GCA_002095315.1
UP000193978	Methylocystis bryophila	655015	4267	C:96.9%[S:94.7%,D:2.2%],F:0.2%,M:3.0%,n:639	Unknown	GCA_002117405.1
UP000194003	Magnetofaba australis IT-1	1434232	4001	C:73.6%[S:73.4%,D:0.2%],F:6.9%,M:19.4%,n:432	Unknown	GCA_002109495.1
UP000194012	Roseovarius gaetbuli	1356575	3923	C:99.4%[S:99.2%,D:0.2%],F:0.0%,M:0.6%,n:833	Standard	GCA_900172365.1
UP000194136	Vibrio syngnathi	3034029	4120	C:99.8%[S:99.2%,D:0.6%],F:0.1%,M:0.1%,n:1445	Unknown	GCA_002119525.1
UP000194137	Pseudorhodoplanes sinuspersici	1235591	5631	C:98.9%[S:98.6%,D:0.3%],F:0.2%,M:0.9%,n:639	Unknown	GCA_002119765.1
UP000194139	Bordetella genomosp. 9	1416803	4089	C:99.6%[S:99.3%,D:0.3%],F:0.1%,M:0.3%,n:688	Outlier (high value)	GCA_002119725.1
UP000194141	Desulfurella amilsii	1562698	2019	C:93.1%[S:89.6%,D:3.5%],F:0.4%,M:6.6%,n:259	Unknown	GCA_002119425.1
UP000194143	Bacillus thuringiensis	1428	6171	C:88.2%[S:87.3%,D:0.9%],F:0.0%,M:11.8%,n:450	Unknown	GCA_002119445.1
UP000194151	Bordetella genomosp. 8	1416806	5424	C:99.0%[S:98.1%,D:0.9%],F:0.0%,M:1.0%,n:688	Unknown	GCA_002119685.1
UP000194154	Macrococcoides canis	1855823	2400	C:96.4%[S:94.0%,D:2.4%],F:0.2%,M:3.3%,n:450	Unknown	GCA_002119805.1
UP000194161	Bordetella genomosp. 13	463040	4733	C:99.3%[S:98.3%,D:1.0%],F:0.3%,M:0.4%,n:688	Unknown	GCA_002119665.1
UP000194204	Xenorhabdus beddingii	40578	3631	C:99.3%[S:99.1%,D:0.2%],F:0.5%,M:0.2%,n:440	Unknown	GCA_002127545.1
UP000194218	Streptomyces marincola	2878388	5248	C:93.2%[S:92.7%,D:0.4%],F:0.3%,M:6.5%,n:1579	Unknown	GCA_002128305.1
UP000194309	Campylobacter devanensis	3161138	1504	C:99.2%[S:99.0%,D:0.2%],F:0.5%,M:0.3%,n:628	Close to standard (low value)	GCA_002139915.1
UP000194350	Xenorhabdus vietnamensis	351656	3791	C:99.5%[S:97.5%,D:2.0%],F:0.2%,M:0.2%,n:440	Standard	GCA_002127535.1
UP000194360	Pseudonocardia autotrophica (Amycolata autotrophica) (Nocardia autotrophica)	2074	6859	C:100.0%[S:98.6%,D:1.4%],F:0.0%,M:0.0%,n:292	Unknown	GCA_002119215.1
UP000194420	Altererythrobacter xiamenensis	1316679	2951	C:99.7%[S:99.6%,D:0.1%],F:0.1%,M:0.2%,n:1018	Unknown	GCA_900177715.1
UP000194432	Acidovorax carolinensis	553814	3397	C:92.9%[S:92.7%,D:0.1%],F:0.3%,M:6.8%,n:688	Unknown	GCA_002157145.1
UP000194450	Pseudidiomarina planktonica	1323738	2385	C:97.6%[S:97.6%,D:0.0%],F:0.1%,M:2.3%,n:820	Unknown	GCA_900177775.1
UP000194457	Kushneria marisflavi	157779	3205	C:98.7%[S:98.4%,D:0.3%],F:0.0%,M:1.3%,n:619	Unknown	GCA_002157205.1
UP000194664	Marivivens niveibacter	1930667	2990	C:99.6%[S:99.5%,D:0.1%],F:0.0%,M:0.4%,n:833	Unknown	GCA_002150005.2
UP000194761	Streptosporangium minutum	569862	8386	C:98.8%[S:98.3%,D:0.5%],F:0.3%,M:0.9%,n:1162	Unknown	GCA_002149035.1
UP000194873	Hymenobacter crusticola	1770526	5735	C:99.1%[S:98.7%,D:0.4%],F:0.1%,M:0.8%,n:768	Unknown	GCA_002154225.1
UP000194931	Acetobacter okinawensis	1076594	2197	C:96.6%[S:96.3%,D:0.3%],F:0.0%,M:3.4%,n:617	Unknown	GCA_002153655.1
UP000194946	Commensalibacter intestini	479936	1871	C:90.7%[S:90.7%,D:0.0%],F:0.2%,M:9.0%,n:432	Outlier (low value)	GCA_002153535.1
UP000194948	Candidatus Enterococcus palustris	1834189	3452	C:99.8%[S:99.3%,D:0.5%],F:0.2%,M:0.0%,n:402	Unknown	GCA_002141365.2
UP000195062	Clavibacter michiganensis subsp. michiganensis	33013	4035	C:66.3%[S:65.2%,D:1.1%],F:17.5%,M:16.2%,n:537	Unknown	GCA_002151045.1
UP000195101	Clavibacter michiganensis	28447	2839	C:99.8%[S:99.3%,D:0.6%],F:0.0%,M:0.2%,n:537	Unknown	GCA_002151125.1
UP000195141	Candidatus Enterococcus clewellii	1834193	4183	C:99.0%[S:98.8%,D:0.2%],F:0.2%,M:0.7%,n:402	Unknown	GCA_002140975.2
UP000195273	Yoonia vestfoldensis	245188	3889	C:99.3%[S:98.9%,D:0.4%],F:0.2%,M:0.5%,n:833	Close to standard (low value)	GCA_002158905.1
UP000195331	Mycobacterium dioxanotrophicus	482462	7309	C:99.6%[S:98.1%,D:1.5%],F:0.0%,M:0.4%,n:743	Outlier (high value)	GCA_002157835.1
UP000195437	Tumebacillus avium	1903704	4330	C:94.4%[S:92.9%,D:1.6%],F:0.9%,M:4.7%,n:450	Unknown	GCA_002162355.1
UP000195442	Crenothrix polyspora	360316	3678	C:86.1%[S:85.5%,D:0.5%],F:3.8%,M:10.1%,n:366	Unknown	GCA_900163745.1
UP000195514	Brevefilum fermentans	1986204	2283	C:79.3%[S:79.3%,D:0.0%],F:0.4%,M:20.3%,n:271	Unknown	GCA_900184705.1
UP000195652	Corynebacterium silvaticum	2320431	2027	C:94.5%[S:94.5%,D:0.0%],F:0.0%,M:5.5%,n:743	Unknown	GCA_002162115.2
UP000195719	Photobacterium andalusiense	2204296	3868	C:98.1%[S:98.0%,D:0.1%],F:0.1%,M:1.9%,n:1445	Unknown	GCA_900185625.1
UP000195729	Tatumella citrea (Pantoea citrea)	53336	4023	C:99.8%[S:99.1%,D:0.7%],F:0.0%,M:0.2%,n:440	Unknown	GCA_002163605.1
UP000195772	Alistipes onderdonkii	328813	2758	C:96.7%[S:96.5%,D:0.2%],F:0.9%,M:2.4%,n:541	Unknown	GCA_002159215.1
UP000195807	Croceicoccus marinus	450378	3600	C:97.9%[S:97.2%,D:0.8%],F:0.2%,M:1.9%,n:1018	Unknown	GCA_001661675.2
UP000195877	Xanthomonas fragariae	48664	3890	C:97.7%[S:97.7%,D:0.0%],F:0.3%,M:2.0%,n:1152	Unknown	GCA_900183975.1
UP000195880	Streptomyces alboflavus	67267	9243	C:96.3%[S:95.8%,D:0.5%],F:2.0%,M:1.8%,n:1579	Close to standard (high value)	GCA_002189675.2
UP000195913	Arthrobacter rhombi	71253	3075	C:98.0%[S:97.8%,D:0.2%],F:1.9%,M:0.2%,n:537	Unknown	GCA_900163545.1
UP000195963	Photobacterium malacitanum	2204294	3778	C:97.9%[S:97.9%,D:0.1%],F:0.1%,M:1.9%,n:1445	Unknown	GCA_900185615.1
UP000195981	Brachybacterium nesterenkovii	47847	2675	C:97.2%[S:97.0%,D:0.2%],F:0.7%,M:2.0%,n:537	Unknown	GCA_900163655.1
UP000196005	Sulfurospirillum diekertiae	1854492	2943	C:96.8%[S:95.2%,D:1.6%],F:1.8%,M:1.4%,n:628	Unknown	GCA_002162315.1
UP000196027	Oleiphilus messinensis	141451	5456	C:97.4%[S:96.8%,D:0.6%],F:1.0%,M:1.6%,n:619	Unknown	GCA_002162375.1
UP000196053	Herbinix luporum	1679721	2352	C:98.8%[S:98.8%,D:0.0%],F:0.4%,M:0.8%,n:247	Close to standard (low value)	GCA_900070325.1
UP000196138	Comamonas serinivorans	1082851	3699	C:98.1%[S:97.8%,D:0.3%],F:0.3%,M:1.6%,n:688	Unknown	GCA_002158865.1
UP000196151	Candidatus Enterococcus dunnyi	1834192	3217	C:98.8%[S:98.5%,D:0.2%],F:0.2%,M:1.0%,n:402	Close to standard (high value)	GCA_002174455.2
UP000196293	Lactobacillus gallinarum	52242	1876	C:99.5%[S:99.5%,D:0.0%],F:0.2%,M:0.2%,n:402	Unknown	GCA_002161035.1
UP000196365	Garciella nitratireducens DSM 15102	1121911	2103	C:99.2%[S:98.9%,D:0.4%],F:0.4%,M:0.4%,n:264	Unknown	GCA_900167305.1
UP000196485	Photobacterium aquimaris	512643	3753	C:98.1%[S:98.1%,D:0.1%],F:0.1%,M:1.8%,n:1445	Unknown	GCA_900185565.1
UP000196560	Enorma massiliensis	1472761	1937	C:99.8%[S:99.6%,D:0.2%],F:0.0%,M:0.2%,n:548	Standard	GCA_002159295.1
UP000196655	Inquilinus limosus	171674	7046	C:97.9%[S:96.4%,D:1.5%],F:0.5%,M:1.6%,n:617	Unknown	GCA_002195995.1
UP000196710	Acutalibacter muris	1796620	3601	C:97.7%[S:97.7%,D:0.0%],F:0.4%,M:1.9%,n:264	Unknown	GCA_002201475.1
UP000196759	Fusobacterium nucleatum subsp. polymorphum (Fusobacterium polymorphum)	76857	2424	C:99.2%[S:99.2%,D:0.0%],F:0.4%,M:0.4%,n:510	Unknown	GCA_002202115.1
UP000196880	Polynucleobacter hirudinilacicola	1743166	1961	C:92.9%[S:92.3%,D:0.6%],F:1.2%,M:6.0%,n:688	Unknown	GCA_002192535.1
UP000197007	Capnocytophaga endodontalis	2708117	2968	C:94.4%[S:94.0%,D:0.4%],F:0.8%,M:4.8%,n:733	Unknown	GCA_002209445.1
UP000197019	Methylovulum psychrotolerans	1704499	4299	C:98.4%[S:97.8%,D:0.5%],F:0.3%,M:1.4%,n:366	Unknown	GCA_002209385.1
UP000197153	Nitrospirillum viridazoti CBAmc	1441467	6034	C:98.9%[S:97.9%,D:1.0%],F:0.2%,M:1.0%,n:617	Unknown	GCA_000730165.2
UP000197215	Polynucleobacter victoriensis	2049319	1630	C:94.8%[S:94.6%,D:0.1%],F:0.9%,M:4.4%,n:688	Unknown	GCA_900187875.1
UP000197290	Sphingomonas dokdonensis	344880	3279	C:98.4%[S:98.4%,D:0.0%],F:0.6%,M:1.0%,n:1018	Outlier (low value)	GCA_002197685.1
UP000197446	Roseateles puraquae	431059	5356	C:98.1%[S:97.5%,D:0.6%],F:0.4%,M:1.5%,n:688	Unknown	GCA_002205845.1
UP000197528	Polynucleobacter campilacus	1743163	1962	C:91.9%[S:91.6%,D:0.3%],F:1.6%,M:6.5%,n:688	Outlier (low value)	GCA_002206625.1
UP000197535	Noviherbaspirillum denitrificans	1968433	5003	C:95.3%[S:94.3%,D:1.0%],F:1.5%,M:3.2%,n:688	Standard	GCA_002211445.1
UP000197783	Sphingomonas mucosissima	370959	3329	C:98.6%[S:98.4%,D:0.2%],F:0.4%,M:1.0%,n:1018	Unknown	GCA_002197665.1
UP000197991	Salmonella bongori serovar 66:z41:- str. SA19983605	1243617	4060	C:100.0%[S:99.8%,D:0.2%],F:0.0%,M:0.0%,n:440	Close to standard (low value)	GCA_002211925.1
UP000198104	Polynucleobacter aenigmaticus	1743164	2110	C:92.0%[S:92.0%,D:0.0%],F:1.5%,M:6.5%,n:688	Unknown	GCA_002206635.1
UP000198210	Micromonospora siamensis	299152	5581	C:99.0%[S:97.6%,D:1.4%],F:0.3%,M:0.7%,n:292	Unknown	GCA_900090305.1
UP000198215	Micromonospora coxensis	356852	5889	C:99.0%[S:97.9%,D:1.0%],F:0.3%,M:0.7%,n:292	Unknown	GCA_900090295.1
UP000198217	Micromonospora echinaurantiaca	47857	6456	C:98.6%[S:92.1%,D:6.5%],F:0.3%,M:1.0%,n:292	Unknown	GCA_900090235.1
UP000198221	Micromonospora inositola	47865	6104	C:99.0%[S:97.9%,D:1.0%],F:0.3%,M:0.7%,n:292	Standard	GCA_900090285.1
UP000198224	Micromonospora chokoriensis	356851	6089	C:98.6%[S:96.9%,D:1.7%],F:0.3%,M:1.0%,n:292	Standard	GCA_900091505.1
UP000198226	Micromonospora rifamycinica	291594	5843	C:98.6%[S:97.6%,D:1.0%],F:0.3%,M:1.0%,n:292	Unknown	GCA_900090265.1
UP000198238	Neisseria chenwenguii	1853278	2219	C:99.3%[S:98.9%,D:0.4%],F:0.1%,M:0.6%,n:804	Unknown	GCA_002216145.1
UP000198242	Micromonospora viridifaciens	1881	6220	C:97.6%[S:96.6%,D:1.0%],F:0.3%,M:2.1%,n:292	Unknown	GCA_900091545.1
UP000198243	Micromonospora coriariae	285665	6251	C:99.0%[S:96.9%,D:2.1%],F:0.3%,M:0.7%,n:292	Unknown	GCA_900091455.1
UP000198251	Micromonospora echinofusca	47858	5931	C:99.0%[S:97.9%,D:1.0%],F:0.3%,M:0.7%,n:292	Unknown	GCA_900091445.1
UP000198253	Micromonospora echinospora (Micromonospora purpurea)	1877	6415	C:99.0%[S:97.6%,D:1.4%],F:0.3%,M:0.7%,n:292	Standard	GCA_900091495.1
UP000198263	Caballeronia concitans	1777133	5606	C:100.0%[S:99.7%,D:0.3%],F:0.0%,M:0.0%,n:688	Close to standard (low value)	GCA_001544615.2
UP000198281	Edaphosphingomonas laterariae	861865	4276	C:98.0%[S:98.0%,D:0.0%],F:0.3%,M:1.7%,n:1018	Unknown	GCA_900188165.1
UP000198282	Streptosporangium subroseum	106412	9643	C:98.7%[S:97.1%,D:1.6%],F:0.4%,M:0.9%,n:1162	Unknown	GCA_900188345.1
UP000198290	Aquitalea magnusonii	332411	4389	C:98.8%[S:98.3%,D:0.5%],F:0.2%,M:1.0%,n:804	Unknown	GCA_002217795.2
UP000198302	Flavobacterium hibernum	37752	4432	C:99.6%[S:98.9%,D:0.7%],F:0.1%,M:0.3%,n:733	Unknown	GCA_002217315.1
UP000198304	Anaerovirgula multivorans	312168	5186	C:100.0%[S:98.9%,D:1.1%],F:0.0%,M:0.0%,n:264	Unknown	GCA_900188145.1
UP000198305	Methylobacillus rhizosphaerae	551994	2274	C:98.0%[S:98.0%,D:0.0%],F:0.1%,M:1.9%,n:738	Unknown	GCA_900187985.1
UP000198307	Paracoccus seriniphilus	184748	3981	C:98.8%[S:98.3%,D:0.5%],F:0.1%,M:1.1%,n:833	Unknown	GCA_900199195.1
UP000198309	Pseudomonas delhiensis	366289	5899	C:99.9%[S:99.6%,D:0.3%],F:0.0%,M:0.1%,n:782	Unknown	GCA_900187975.1
UP000198310	Hymenobacter mucosus	1411120	4763	C:99.7%[S:99.6%,D:0.1%],F:0.3%,M:0.0%,n:768	Unknown	GCA_900188255.1
UP000198312	Virgibacillus phasianinus	2017483	3778	C:98.0%[S:98.0%,D:0.0%],F:0.0%,M:2.0%,n:450	Unknown	GCA_002216775.1
UP000198319	Flavobacterium tructae	1114873	4357	C:99.6%[S:99.2%,D:0.4%],F:0.1%,M:0.3%,n:733	Unknown	GCA_002217445.1
UP000198324	Humidesulfovibrio mexicanus	147047	3215	C:98.7%[S:98.2%,D:0.5%],F:0.3%,M:1.0%,n:777	Unknown	GCA_900188225.1
UP000198329	Pseudoalteromonas nigrifaciens	28109	3917	C:98.7%[S:98.2%,D:0.5%],F:0.6%,M:0.7%,n:820	Standard	GCA_002221505.1
UP000198345	Flavobacterium hercynium	387094	4450	C:99.7%[S:99.2%,D:0.5%],F:0.0%,M:0.3%,n:733	Outlier (high value)	GCA_002217285.1
UP000198346	Amphiplicatus metriothermophilus	1519374	2934	C:98.4%[S:97.9%,D:0.5%],F:0.5%,M:1.2%,n:432	Unknown	GCA_900199215.1
UP000198367	Shewanella bicestrii	2018305	4219	C:99.8%[S:99.8%,D:0.0%],F:0.0%,M:0.2%,n:820	Unknown	GCA_002216875.1
UP000198371	Vibrio tarriae	2014742	3585	C:97.9%[S:97.9%,D:0.0%],F:0.1%,M:2.1%,n:1445	Close to standard (low value)	GCA_002216685.1
UP000198384	Lutibacter agarilyticus	1109740	3391	C:99.6%[S:99.3%,D:0.3%],F:0.1%,M:0.3%,n:733	Unknown	GCA_900188235.1
UP000198398	Brachybacterium avium	2017485	2869	C:92.0%[S:91.8%,D:0.2%],F:0.2%,M:7.8%,n:537	Unknown	GCA_002216795.1
UP000198417	Puniceibacterium sediminis	1608407	4262	C:98.9%[S:98.7%,D:0.2%],F:0.1%,M:1.0%,n:833	Standard	GCA_900188035.1
UP000198418	Rhodoblastus acidophilus (Rhodopseudomonas acidophila)	1074	4412	C:98.3%[S:97.5%,D:0.8%],F:0.3%,M:1.4%,n:639	Unknown	GCA_900187365.1
UP000198426	Tropicimonas sediminicola	1031541	4801	C:99.9%[S:99.5%,D:0.4%],F:0.1%,M:0.0%,n:833	Close to standard (high value)	GCA_900188335.1
UP000198461	Sulfurivirga caldicuralii	364032	1631	C:98.6%[S:98.6%,D:0.0%],F:0.0%,M:1.4%,n:491	Unknown	GCA_900141795.1
UP000198480	Belliella buryatensis	1500549	3375	C:99.6%[S:99.6%,D:0.0%],F:0.1%,M:0.3%,n:768	Unknown	GCA_900188245.1
UP000198500	Aidingimonas halophila	574349	3626	C:99.5%[S:99.4%,D:0.2%],F:0.3%,M:0.2%,n:619	Unknown	GCA_900106955.1
UP000198504	Microlunatus flavus	1036181	4422	C:97.4%[S:97.2%,D:0.2%],F:0.5%,M:2.2%,n:649	Outlier (high value)	GCA_900110855.1
