GCF_ID,Ku_IDs,LigD_IDs,Plasmid_IDs,Chromosome_IDs,Plasmid_number,Chromosome_number,Ku_plasmid_IDs,Ku_chromosome_IDs,Ku_absent_status,LigD_plasmid_IDs,LigD_chromosome_IDs,LigD_absent_status,NHEJ_status_verbose,NHEJ_status_ordinal,NCBI_Taxon_ID,Tax_ID2,Bacteria_name,Phylum_name,Phylum_subphylum_name,Genome_size,rRNA_copy_number,GC_content,Conv_non-conv_ligd_status
GCF_001506185.1_ASM150618v1,NA-Ku,"WP_002869692.1,lig:106-229",NA-plasmid,NZ_CP010471.1,0,1,-,-,NA-Ku,-,WP_002869692.1,-,Lig-only,2,197,197,Campylobacter jejuni strain CJ677CC519,Proteobacteria,Proteobacteria-Epsilonproteobacteria,1642794,1,30,LigD-only-lig-no-pol
GCF_000012805.1_ASM1280v1,NA-Ku,NA-LigD,NC_007483.1,NC_007484.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,323261,1229,Nitrosococcus oceani ATCC 19707 plasmid A,Proteobacteria,Proteobacteria-Gammaproteobacteria,3481691,2,50,No-LigD-domains
GCF_000091565.1_ASM9156v1,NA-Ku,NA-LigD,NC_013957.1,NC_013961.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,665029,552,Erwinia amylovora CFBP1430 plasmid pEA29,Proteobacteria,Proteobacteria-Gammaproteobacteria,3805573,7,54,No-LigD-domains
GCF_000419405.1_ASM41940v1,NA-Ku,NA-LigD,NC_021734.1,NC_021733.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1096996,470,Acinetobacter baumannii BJAB0715 plasmid pBJAB0715,Proteobacteria,Proteobacteria-Gammaproteobacteria,4001621,6,39,No-LigD-domains
GCF_000016325.1_ASM1632v1,NA-Ku,NA-LigD,NC_009425.1,NC_009436.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,399742,399742,Enterobacter sp. 638 plasmid pENTE01,Proteobacteria,Proteobacteria-Gammaproteobacteria,4518712,7,53,No-LigD-domains
GCF_001718875.1_ASM171887v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP013448.1@NZ_CP013449.1,0,2,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1740163,1740163,Burkholderia sp. Bp7605 strain MSMB0175 chromosome 2,Proteobacteria,Proteobacteria-Betaproteobacteria,9368908,4,65,No-LigD-domains
GCF_000022265.1_ASM2226v1,WP_012645437.1:9-179,"WP_012645436.1,pe:4-164|lig:213-504|pol:541-783",NA-plasmid,NC_011979.1,0,1,-,WP_012645437.1,-,-,WP_012645436.1,-,Yes-NHEJ,3,316067,1203471,Geobacter daltonii FRC-32,Proteobacteria,Proteobacteria-Deltaproteobacteria,4304501,2,53,Yes-NHEJ-all-same-prot
GCF_000967345.1_ASM96734v1,NA-Ku,NA-LigD,NC_020531.1,NC_020564.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1074919,1280,Staphylococcus aureus subsp. aureus ST228 plasmid pI2T2 complete sequence,Firmicutes,Firmicutes-Bacilli,2759512,5,33,No-LigD-domains
GCF_001043175.1_ASM104317v1,NA-Ku,"WP_048389221.1,lig:115-241",NA-plasmid,NZ_CP011494.1,0,1,-,-,NA-Ku,-,WP_048389221.1,-,Lig-only,2,330734,330734,Marinobacter psychrophilus strain 20041,Proteobacteria,Proteobacteria-Gammaproteobacteria,3998597,3,54,LigD-only-lig-no-pol
GCF_001887675.1_ASM188767v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP015113.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,283686,283686,Kosakonia radicincitans strain GXGL-4A,Proteobacteria,Proteobacteria-Gammaproteobacteria,5687681,7,54,No-LigD-domains
GCF_000026025.1_ASM2602v1,NA-Ku,NA-LigD,NA-plasmid,NC_004552.2,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,218497,83555,Chlamydophila abortus strain S26/3,Chlamydiae,Chlamydiae-Chlamydiales,1144377,1,40,No-LigD-domains
GCF_000462975.1_ASM46297v1,NA-Ku,"WP_029189836.1,lig:111-231",NC_022225.1,NC_022223.1@NC_022224.1,1,2,-,-,NA-Ku,-,WP_029189836.1,-,Lig-only,2,882944,55601,Listonella anguillarum M3 plasmid,Proteobacteria,Proteobacteria-Gammaproteobacteria,7115308,6,45,LigD-only-lig-no-pol
GCF_000941015.1_ASM94101v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP007235.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1454639,28901,Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1899,Proteobacteria,Proteobacteria-Gammaproteobacteria,4856450,7,52,No-LigD-domains
GCF_000148875.1_ASM14887v1,NA-Ku,NA-LigD,NC_014556.1,NC_014555.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,765963,210,Helicobacter pylori PeCan4 plasmid pHPPC4,Proteobacteria,Proteobacteria-Epsilonproteobacteria,1629557,2,39,No-LigD-domains
GCF_000007365.1_ASM736v1,NA-Ku,NA-LigD,NA-plasmid,NC_004061.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,198804,9,Buchnera aphidicola str. Sg (Schizaphis graminum),Proteobacteria,Proteobacteria-Gammaproteobacteria,641454,1,25,No-LigD-domains
GCF_000761115.1_ASM76111v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP009472.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1358,1358,Lactococcus lactis strain AI06,Firmicutes,Firmicutes-Bacilli,2398091,6,35,No-LigD-domains
GCF_000262325.2_ASM26232v2,WP_014718364.1:10-195,"WP_014717256.1,lig:233-482;WP_014717386.1,pe:6-164|lig:232-533|pol:568-805;WP_014718363.1,pe:7-163|lig:218-516|pol:545-788",NC_021361.1,NC_017911.1,1,1,-,WP_014718364.1,-,-,WP_014717256.1;WP_014717386.1;WP_014718363.1,-,Yes-NHEJ,3,1037911,294,Pseudomonas fluorescens A506 plasmid pA506,Proteobacteria,Proteobacteria-Gammaproteobacteria,5962570,6,60,Yes-NHEJ-all-same-prot
GCF_000789335.1_ASM78933v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP003408.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1157948,1157948,Thermotoga sp. 2812B,Thermotogae,Thermotogae-Thermotogales,1843731,1,46,No-LigD-domains
GCF_001647835.1_ASM164783v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP015430.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,730,730,[Haemophilus] ducreyi strain GHA2,Proteobacteria,Proteobacteria-Gammaproteobacteria,1634243,6,38,No-LigD-domains
GCF_900086565.1_39641_H02,NA-Ku,NA-LigD,NA-plasmid,NZ_LT571437.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,224729,28901,Salmonella enterica subsp. enterica serovar Java strain NCTC5706 genome assembly,Proteobacteria,Proteobacteria-Gammaproteobacteria,4756780,7,52,No-LigD-domains
GCF_000439495.1_ASM43949v1,NA-Ku,"WP_024017125.1,lig:333-512",NA-plasmid,NC_023045.1,0,1,-,-,NA-Ku,-,WP_024017125.1,-,Lig-only,2,1300254,314275,Alteromonas macleodii str. 'Aegean Sea MED64',Proteobacteria,Proteobacteria-Gammaproteobacteria,4397537,5,45,LigD-only-lig-no-pol
GCF_000292915.1_ASM29291v1,NA-Ku,NA-LigD,NA-plasmid,NC_018513.1@NC_018514.1,0,2,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1009846,292,Burkholderia cepacia GG4 chromosome 2,Proteobacteria,Proteobacteria-Betaproteobacteria,9930976,2,67,No-LigD-domains
GCF_001886815.1_ASM188681v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP018099.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,880073,187145,Caldithrix abyssi DSM 13497,Calditrichaeota,Calditrichaeota-Calditrichae,4978541,1,45,No-LigD-domains
GCF_000828635.1_ASM82863v1,NA-Ku,NA-LigD,NA-plasmid,NZ_AP012547.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1223802,748811,Sulfuritalea hydrogenivorans sk43H DNA,Proteobacteria,Proteobacteria-Betaproteobacteria,3802648,2,63,No-LigD-domains
GCF_001887555.1_ASM188755v1,WP_024430301.1:10-196,"WP_024430300.1,pe:63-205|lig:633-717|pol:859-1101",NA-plasmid,NZ_CP016909.1@NZ_CP016910.1,0,2,-,WP_024430301.1,-,-,WP_024430300.1,-,Yes-NHEJ,3,28450,28450,Burkholderia pseudomallei strain Burk178-Type1 chromosome 2,Proteobacteria,Proteobacteria-Betaproteobacteria,11345208,4,68,Yes-NHEJ-all-same-prot
GCF_001445575.1_ASM144557v1,NA-Ku,"WP_062289782.1,pol:10-106",NZ_CP013201.1,NZ_CP013200.1,1,1,-,-,NA-Ku,-,WP_062289782.1,-,No-NHEJ,0,656366,656366,Arthrobacter alpinus strain ERGS4:06 plasmid pRK01,Actinobacteria,Actinobacteria-Micrococcales,4322479,8,61,No-LigD-domains
GCF_000240165.1_ASM24016v1,WP_014146160.1:9-182,"WP_014146215.1,lig:11-330;WP_014628695.1,lig:21-322;WP_014141442.1,lig:206-452;WP_014628696.1,pol:21-260;WP_014146273.1,pe:12-167;WP_014146216.1,pol:14-258",NC_017585.1,NC_017586.1,1,1,-,WP_014146160.1,-,-,WP_014141442.1;WP_014628695.1;WP_014628696.1;WP_014146215.1;WP_014146216.1;WP_014146273.1,-,Yes-NHEJ,3,1003195,29303,Streptomyces cattleya DSM 46488 plasmid pSCATT,Actinobacteria,Actinobacteria-Streptomycetales,6282967,6,73,Yes-NHEJ-all-diff-prot
GCF_000190515.1_ASM19051v1,WP_000557717.1:10-194,NA-LigD,NC_017201.1@NC_017199.1,NC_017200.1,2,1,-,WP_000557717.1,-,-,-,NA-Lig,Ku-only,1,930170,1428,Bacillus thuringiensis serovar finitimus YBT-020 plasmid pBMB28,Firmicutes,Firmicutes-Bacilli,5355490,14,36,No-LigD-domains
GCF_000092665.1_ASM9266v1,NA-Ku,NA-LigD,NA-plasmid,NC_017439.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,707184,813,Chlamydia trachomatis E/150,Chlamydiae,Chlamydiae-Chlamydiales,1042996,2,41,No-LigD-domains
GCF_000300095.1_ASM30009v1,WP_015002657.1:10-196,"WP_014971783.1,lig:248-504;WP_015002656.1,pe:8-175|lig:262-566|pol:695-937",NC_018696.1,NC_018695.1@NC_018672.1,1,2,-,WP_015002657.1,-,-,WP_015002656.1;WP_014971783.1,-,Yes-NHEJ,3,1229205,252970,Burkholderia phenoliruptrix BR3459a plasmid pSYMBR3459,Proteobacteria,Proteobacteria-Betaproteobacteria,11017929,6,64,Yes-NHEJ-all-same-prot
GCF_000014745.1_ASM1474v1,NA-Ku,NA-LigD,NA-plasmid,NC_008347.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,394221,74318,Maricaulis maris MCS10,Proteobacteria,Proteobacteria-Alphaproteobacteria,3368780,2,63,No-LigD-domains
GCF_000331995.1_ASM33199v1,WP_015359276.1:9-191,"WP_015359273.1,pol:2-123;WP_015359274.1,pol:7-69;WP_015359275.1,lig:17-301",NA-plasmid,NC_020134.1,0,1,-,WP_015359276.1,-,-,WP_015359273.1;WP_015359274.1;WP_015359275.1,-,Yes-NHEJ,3,1121335,1510,Clostridium stercorarium subsp. stercorarium DSM 8532,Firmicutes,Firmicutes-Clostridia,2974379,3,42,Yes-NHEJ-lig-pol-diff-prot
GCF_000230695.2_ASM23069v3,NA-Ku,"WP_007507382.1,pol:67-310",NA-plasmid,NC_020541.1,0,1,-,-,NA-Ku,-,WP_007507382.1,-,No-NHEJ,0,666685,666685,Rhodanobacter denitrificans strain 2APBS1,Proteobacteria,Proteobacteria-Gammaproteobacteria,4225490,2,67,No-LigD-domains
GCF_000272735.3_ASM27273v3,NA-Ku,NA-LigD,NA-plasmid,NZ_CP010281.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,796732,28901,Salmonella enterica subsp. enterica serovar Newport str. CVM 22513,Proteobacteria,Proteobacteria-Gammaproteobacteria,4830769,7,52,No-LigD-domains
GCF_001484605.1_ASM148460v1,WP_058930310.1:9-182,"WP_058931794.1,lig:203-468;WP_058932554.1,pol:20-263;WP_058930311.1,pe:321-424|lig:543-837|pol:16-263;WP_058930696.1,lig:11-332;WP_058932600.1,pol:18-262",NZ_CP013748.1,NZ_CP013747.1,1,1,-,WP_058930310.1,-,-,WP_058930311.1;WP_058930696.1;WP_058931794.1;WP_058932554.1;WP_058932600.1,-,Yes-NHEJ,3,121292,121292,Arthrobacter sulfonivorans strain Ar51 plasmid,Actinobacteria,Actinobacteria-Micrococcales,5043757,5,65,Yes-NHEJ-all-same-prot
GCF_000230555.1_ASM23055v1,WP_014130898.1:13-187,"WP_014130897.1,pe:9-162|lig:211-508|pol:538-782;WP_014132284.1,lig:221-460",NC_016079.1,NC_016078.1,1,1,-,WP_014130898.1,-,-,WP_014130897.1;WP_014132284.1,-,Yes-NHEJ,3,1082931,531813,Pelagibacterium halotolerans B2 plasmid pPHB2,Proteobacteria,Proteobacteria-Alphaproteobacteria,3944837,2,61,Yes-NHEJ-all-same-prot
GCF_000021445.1_ASM2144v1,WP_000557719.1:10-194,NA-LigD,NC_012579.1@NC_012577.1,NC_012581.1,2,1,-,WP_000557719.1,-,-,-,NA-Lig,Ku-only,1,568206,1392,Bacillus anthracis str. CDC 684 plasmid pX02,Firmicutes,Firmicutes-Bacilli,5230115,11,35,No-LigD-domains
GCF_000022325.1_ASM2232v1,NA-Ku,NA-LigD,NC_012036.1@NC_012037.1,NC_012034.1,2,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,521460,31899,Caldicelulosiruptor becscii DSM 6725 plasmid pATHE02,Firmicutes,Firmicutes-Clostridia,2919718,3,35,No-LigD-domains
GCF_001605645.1_ASM160564v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP010264.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,520,520,Bordetella pertussis strain I656,Proteobacteria,Proteobacteria-Betaproteobacteria,4101762,3,68,No-LigD-domains
GCF_000767505.1_ASM76750v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP007240.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1314,1314,Streptococcus pyogenes strain 7F7,Firmicutes,Firmicutes-Bacilli,1709790,6,39,No-LigD-domains
GCF_000013585.1_ASM1358v1,NA-Ku,NA-LigD,NA-plasmid,NC_008258.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,373384,623,Shigella flexneri 5 str. 8401,Proteobacteria,Proteobacteria-Gammaproteobacteria,4574284,7,51,No-LigD-domains
GCF_000008925.1_ASM892v1,NA-Ku,NA-LigD,NC_007930.1@NC_006529.1@NC_006530.1,NC_007929.1,3,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,362948,1624,Lactobacillus salivarius UCC118 plasmid pSF118-44,Firmicutes,Firmicutes-Bacilli,1827111,7,33,No-LigD-domains
GCF_000164885.1_ASM16488v1,NA-Ku,NA-LigD,NC_014621.1@NC_014626.1,NC_014625.1,2,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,880591,92945,Ketogulonicigenium vulgare Y25 plasmid pYP12,Proteobacteria,Proteobacteria-Alphaproteobacteria,2776084,5,62,No-LigD-domains
GCF_000705595.2_ASM70559v2,WP_037385348.1:12-178;WP_037385683.1:12-178;WP_037385351.1:13-178;WP_037383938.1:13-176;WP_037385686.1:13-178;WP_037384094.1:16-178;WP_037384089.1:13-193,"WP_037389488.1,lig:220-470;WP_037385366.1,pe:7-164|lig:249-544|pol:598-825;WP_037385354.1,lig:41-334;WP_037385689.1,lig:41-334;WP_072597360.1,lig:24-315;WP_037383943.1,pe:8-160|lig:218-507|pol:530-770;WP_037384151.1,lig:50-338;WP_037385880.1,pe:7-164|lig:249-544|pol:600-826;WP_052035334.1,lig:15-282",NZ_CP013052.1@NZ_CP013053.1@NZ_CP013054.1,NZ_CP013051.1,3,1,WP_037385348.1;WP_037385351.1;WP_037385686.1;WP_037385683.1;WP_037384094.1;WP_037384089.1;WP_037383938.1,-,-,WP_052035334.1;WP_037385354.1;WP_037385366.1;WP_037385880.1;WP_037385689.1;WP_072597360.1;WP_037384151.1;WP_037383943.1,WP_037389488.1,-,Yes-NHEJ,3,1408224,194963,Sinorhizobium americanum CCGM7 plasmid C,Proteobacteria,Proteobacteria-Alphaproteobacteria,3650564,3,63,Yes-NHEJ-all-same-prot
GCF_900088425.1_A12,NA-Ku,NA-LigD,NZ_LT599050.1@NZ_LT599051.1@NZ_LT599052.1@NZ_LT599053.1,NZ_LT599049.1,4,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1360,1358,Lactococcus lactis subsp. lactis strain A12 genome assembly,Firmicutes,Firmicutes-Bacilli,2603898,6,36,No-LigD-domains
GCF_000021025.1_ASM2102v1,NA-Ku,NA-LigD,NA-plasmid,NC_012559.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,557598,168471,Laribacter hongkongensis HLHK9,Proteobacteria,Proteobacteria-Betaproteobacteria,3169329,7,62,No-LigD-domains
GCF_001623745.1_ASM162374v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP014982.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1454647,28901,Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1810,Proteobacteria,Proteobacteria-Gammaproteobacteria,4927870,7,52,No-LigD-domains
GCF_000243135.2_ASM24313v3,WP_015263066.1:8-187,"WP_015263065.1,pe:7-159|lig:203-501|pol:538-781",NA-plasmid,NC_019903.1,0,1,-,WP_015263066.1,-,-,WP_015263065.1,-,Yes-NHEJ,3,871963,233055,Desulfitobacterium dichloroeliminans LMG P-21439,Firmicutes,Firmicutes-Clostridia,3624449,6,44,Yes-NHEJ-all-same-prot
GCF_000253375.1_ASM25337v1,WP_014000505.1:9-192,"WP_003401386.1,pol:18-264;WP_014000506.1,pe:299-435|lig:471-756|pol:9-255;WP_014001922.1,pol:15-263;WP_003420435.1,lig:11-264;WP_014001562.1,lig:203-445",NA-plasmid,NC_015848.1,0,1,-,WP_014000505.1,-,-,WP_003401386.1;WP_014000506.1;WP_014001562.1;WP_014001922.1;WP_003420435.1,-,Yes-NHEJ,3,1048245,78331,Mycobacterium canettii CIPT 140010059 complete genome,Actinobacteria,Actinobacteria-Corynebacteriales,4482059,1,66,Yes-NHEJ-all-same-prot
GCF_000619905.2_ASM61990v2,WP_025039477.1:16-202,"WP_025042121.1,lig:32-121;WP_025039478.1,pe:10-165|lig:232-531|pol:554-796",NA-plasmid,NZ_CP012371.1,0,1,-,WP_025039477.1,-,-,WP_025039478.1;WP_025042121.1,-,Yes-NHEJ,3,1266925,35799,Nitrosospira briensis C-128,Proteobacteria,Proteobacteria-Betaproteobacteria,3210113,1,53,Yes-NHEJ-all-same-prot
GCF_000007585.1_ASM758v1,NA-Ku,NA-LigD,NA-plasmid,NC_002950.2,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,242619,837,Porphyromonas gingivalis W83,Bacteroidetes,Bacteroidetes-Bacteroidia,2343476,5,48,No-LigD-domains
GCF_000016705.1_ASM1670v1,NA-Ku,"WP_011309328.1,pe:7-156",NA-plasmid,NC_009455.1,0,1,-,-,NA-Ku,-,WP_011309328.1,-,No-NHEJ,0,216389,61435,Dehalococcoides sp. BAV1,Chloroflexi,Chloroflexi-Dehalococcoidia,1341892,1,47,No-LigD-domains
GCF_000020725.1_ASM2072v1,WP_012528580.1:9-179,"WP_012528567.1,pe:4-164|lig:234-516|pol:584-826",NA-plasmid,NC_011146.1,0,1,-,WP_012528580.1,-,-,WP_012528567.1,-,Yes-NHEJ,3,404380,225194,Geobacter bemidjiensis Bem,Proteobacteria,Proteobacteria-Deltaproteobacteria,4615150,4,60,Yes-NHEJ-all-same-prot
GCF_000648515.1_ASM64851v1,NA-Ku,NA-LigD,NZ_CP007558.1,NZ_CP007557.1,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1333848,546,Citrobacter freundii CFNIH1 plasmid pKEC-a3c,Proteobacteria,Proteobacteria-Gammaproteobacteria,5099034,8,52,No-LigD-domains
GCF_900048045.1_MEPMAR,NA-Ku,NA-LigD,NA-plasmid,NZ_LN999831.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1778264,1778264,Enterobacteriaceae bacterium symbiont of Paracoccus marginatus isolate MEPMAR genome assembly,Proteobacteria,Proteobacteria-Gammaproteobacteria,352837,1,31,No-LigD-domains
GCF_001514395.1_ASM151439v1,NA-Ku,NA-LigD,NZ_CP013945.1@NZ_CP013946.1@NZ_CP013947.1@NZ_CP013948.1,NZ_CP013944.1,4,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1238,1238,Piscirickettsia salmonis strain PSCGR01 plasmid pPsCRG01-3,Proteobacteria,Proteobacteria-Gammaproteobacteria,3167361,6,40,No-LigD-domains
GCF_001887575.1_ASM188757v1,WP_024430301.1:10-196,"WP_024430300.1,pe:63-205|lig:633-717|pol:859-1101",NA-plasmid,NZ_CP016911.1@NZ_CP016912.1,0,2,-,WP_024430301.1,-,-,WP_024430300.1,-,Yes-NHEJ,3,28450,28450,Burkholderia pseudomallei strain Burk178-Type2 chromosome 2,Proteobacteria,Proteobacteria-Betaproteobacteria,11345074,4,68,Yes-NHEJ-all-same-prot
GCF_000009645.1_ASM964v1,NA-Ku,NA-LigD,NC_003140.1,NC_002745.2,1,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,158879,1280,Staphylococcus aureus subsp. aureus N315 plasmid pN315 DNA,Firmicutes,Firmicutes-Bacilli,2814816,5,33,No-LigD-domains
GCF_000196075.1_ASM19607v1,NA-Ku,NA-LigD,NA-plasmid,NC_004551.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,218496,2039,Tropheryma whipplei TW08/27,Actinobacteria,Actinobacteria-Micrococcales,925938,1,46,No-LigD-domains
GCF_000143225.1_ASM14322v1,WP_013234248.1:10-196,"WP_013234249.1,pe:8-166|lig:218-522|pol:563-806;WP_013234256.1,lig:227-486",NA-plasmid,NC_014323.1,0,1,-,WP_013234248.1,-,-,WP_013234249.1;WP_013234256.1,-,Yes-NHEJ,3,757424,964,Herbaspirillum seropedicae SmR1,Proteobacteria,Proteobacteria-Betaproteobacteria,5513887,3,63,Yes-NHEJ-all-same-prot
GCF_000283955.1_ASM28395v1,NA-Ku,NA-LigD,NA-plasmid,NC_016913.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1105104,783,Rickettsia rickettsii str. Brazil,Proteobacteria,Proteobacteria-Alphaproteobacteria,1255681,1,32,No-LigD-domains
GCF_000292455.1_ASM29245v1,WP_000557750.1:10-193,NA-LigD,NC_018486.1@NC_018501.1@NC_018487.1@NC_018488.1@NC_018502.1@NC_018489.1@NC_018503.1@NC_018490.1,NC_018500.1,8,1,-,WP_000557750.1,-,-,-,NA-Lig,Ku-only,1,1218175,1428,Bacillus thuringiensis HD-771 plasmid p08,Firmicutes,Firmicutes-Bacilli,5886036,12,35,No-LigD-domains
GCF_001188715.1_ASM118871v1,NA-Ku,"WP_002231172.1,lig:153-355",NZ_CP006757.1@NZ_CP006756.1,NZ_CP006758.1,2,1,-,-,NA-Ku,WP_002231172.1,-,-,Lig-only,2,1345705,632,Yersinia pestis 1522 plasmid pMT,Proteobacteria,Proteobacteria-Gammaproteobacteria,4530125,7,48,LigD-only-lig-no-pol
GCF_000800235.1_ASM80023v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP009418.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,487,487,Neisseria meningitidis strain NM3686,Proteobacteria,Proteobacteria-Betaproteobacteria,2195266,4,52,No-LigD-domains
GCF_000758405.1_ASM75840v1,WP_005066336.1:10-189,"WP_005109719.1,pe:314-466|lig:495-778|pol:26-275;WP_005090596.1,pol:15-264;WP_005112312.1,pol:9-252;WP_005121850.1,lig:11-259",NA-plasmid,NZ_CP009408.1,0,1,-,WP_005066336.1,-,-,WP_005121850.1;WP_005090596.1;WP_005109719.1;WP_005112312.1,-,Yes-NHEJ,3,319705,36809,Mycobacterium abscessus subsp. bolletii strain MA 1948,Actinobacteria,Actinobacteria-Corynebacteriales,5064190,1,64,Yes-NHEJ-all-same-prot
GCF_000091725.1_ASM9172v1,NA-Ku,NA-LigD,NA-plasmid,NC_014215.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,754252,1744,Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1,Actinobacteria,Actinobacteria-Propionibacteriales,2616384,2,67,No-LigD-domains
GCF_000340785.1_ASM34078v1,NA-Ku,NA-LigD,NC_020289.1@NC_020298.1@NC_020290.1@NC_020287.1@NC_020288.1@NC_020296.1@NC_020297.1,NC_020286.1,7,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1148,1148,Synechocystis sp. PCC 6803 plasmid pSYSX_M,Cyanobacteria,Cyanobacteria-Synechococcales,3569561,2,48,No-LigD-domains
GCF_000211015.1_ASM21101v1,NA-Ku,NA-LigD,NA-plasmid,NC_021028.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,869304,1313,Streptococcus pneumoniae SPN034183 draft genome,Firmicutes,Firmicutes-Bacilli,2037254,4,40,No-LigD-domains
GCF_000182745.2_ASM18274v1,NA-Ku,NA-LigD,NC_016037.1@NC_016021.1@NC_016028.1@NC_016022.1@NC_016029.1@NC_016900.1@NC_016030.1,NC_016027.1,7,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,634177,1177712,Komagataeibacter medellinensis NBRC 3288 plasmid pGXY070 DNA,Proteobacteria,Proteobacteria-Alphaproteobacteria,3136818,5,61,No-LigD-domains
GCF_000755105.1_ASM75510v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP009094.1@NZ_CP009095.1,0,2,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,29461,29461,Brucella suis strain ZW043 chromosome 2,Proteobacteria,Proteobacteria-Alphaproteobacteria,5665772,2,57,No-LigD-domains
GCF_000008385.1_ASM838v1,NA-Ku,NA-LigD,NA-plasmid,NC_006833.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,292805,80849,Wolbachia endosymbiont strain TRS of Brugia malayi,Proteobacteria,Proteobacteria-Alphaproteobacteria,1080084,1,34,No-LigD-domains
GCF_000599705.1_ASM59970v1,NA-Ku,NA-LigD,NA-plasmid,NZ_CP007394.1,0,1,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,562,562,Escherichia coli strain ST2747,Proteobacteria,Proteobacteria-Gammaproteobacteria,5090442,13,51,No-LigD-domains
GCF_001682195.1_ASM168219v1,NA-Ku,NA-LigD,NZ_CP003562.1,NZ_CP003560.1@NZ_CP003561.1,1,2,-,-,NA-Ku,-,-,NA-Lig,No-NHEJ,0,1191459,1191459,Flammeovirga sp. MY04 plasmid,Bacteroidetes,Bacteroidetes-Cytophagia,12300911,8,35,No-LigD-domains
