From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Proteomes
A0A3N2BCF1	A0A3N2BCF1	unreviewed	A0A3N2BCF1_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EDD31_1282	Bogoriella caseilytica	535	UP000280668: Unassembled WGS sequence
A0A3N2C612	A0A3N2C612	unreviewed	A0A3N2C612_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EDD42_3060	Plantibacter flavus	500	UP000266915: Unassembled WGS sequence
A0A3N2CXH5	A0A3N2CXH5	unreviewed	A0A3N2CXH5_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EDD33_3080	Nocardioides aurantiacus	504	UP000281738: Unassembled WGS sequence
A0A3N2D089	A0A3N2D089	unreviewed	A0A3N2D089_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EDD28_2594	Salana multivorans	544	UP000275356: Unassembled WGS sequence
A0A3N2GZW0	A0A3N2GZW0	unreviewed	A0A3N2GZW0_9PSEU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EDD35_4520	Amycolatopsis thermoflava	500	UP000274843: Unassembled WGS sequence
A0A3N2RCN3	A0A3N2RCN3	unreviewed	A0A3N2RCN3_LYSEN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	D9T17_20445	Lysobacter enzymogenes	531	UP000275910: Unassembled WGS sequence
A0A3N2RYD0	A0A3N2RYD0	unreviewed	A0A3N2RYD0_9ENTR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EB837_15875	Kluyvera ascorbata	280	UP000268051: Unassembled WGS sequence
A0A3N3DTA3	A0A3N3DTA3	unreviewed	A0A3N3DTA3_9VIBR	DNA-3-methyladenine glycosylase 2 family protein	EGH82_21605	Vibrio ponticus	452	UP000278792: Unassembled WGS sequence
A0A3N4EDH5	A0A3N4EDH5	unreviewed	A0A3N4EDH5_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EGC77_16905 EGC80_12175	Shewanella psychromarinicola	511	UP000273778: Chromosome; UP000278855: Unassembled WGS sequence
A0A3N4H195	A0A3N4H195	unreviewed	A0A3N4H195_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EF294_04315	Gordonia oryzae	545	UP000267536: Unassembled WGS sequence
A0A3N4PG09	A0A3N4PG09	unreviewed	A0A3N4PG09_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BBB56_04610	Candidatus Pantoea deserta	491	UP000281332: Unassembled WGS sequence
A0A3N4RPW4	A0A3N4RPW4	unreviewed	A0A3N4RPW4_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EDD38_3742	Kitasatospora cineracea	528	UP000266906: Unassembled WGS sequence
A0A3N4V795	A0A3N4V795	unreviewed	A0A3N4V795_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EDC50_2511	Vulcaniibacterium tengchongense	524	UP000269708: Unassembled WGS sequence
A0A3N4ZC29	A0A3N4ZC29	unreviewed	A0A3N4ZC29_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EDD32_3386	Georgenia muralis	293	UP000280726: Unassembled WGS sequence
A0A3N4ZCQ3	A0A3N4ZCQ3	unreviewed	A0A3N4ZCQ3_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EDD34_3937	Myceligenerans xiligouense	551	UP000280501: Unassembled WGS sequence
A0A3N5DA68	A0A3N5DA68	unreviewed	A0A3N5DA68_9ENTR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EHN07_13065	Buttiauxella warmboldiae	281	UP000268615: Unassembled WGS sequence
A0A3N5XZN5	A0A3N5XZN5	unreviewed	A0A3N5XZN5_9ALTE	DNA-3-methyladenine glycosylase 2 family protein	DRW07_10945	Alteromonas sediminis	271	UP000275281: Unassembled WGS sequence
A0A3N6NZ49	A0A3N6NZ49	unreviewed	A0A3N6NZ49_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	D1Y85_13315	Paraburkholderia dinghuensis	318	UP000272778: Unassembled WGS sequence
A0A3N6SFK6	A0A3N6SFK6	unreviewed	A0A3N6SFK6_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EB241_14415	Erwinia psidii	486	UP000279457: Unassembled WGS sequence
A0A3N6ZT04	A0A3N6ZT04	unreviewed	A0A3N6ZT04_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EHW97_01320	Aeromicrobium camelliae	476	UP000275225: Unassembled WGS sequence
A0A3N7HTS9	A0A3N7HTS9	unreviewed	A0A3N7HTS9_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DZC73_00825	Piscinibacter terrae	491	UP000267464: Unassembled WGS sequence
A0A3N8PKM6	A0A3N8PKM6	unreviewed	A0A3N8PKM6_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DF051_23230	Burkholderia contaminans	319	UP000277921: Unassembled WGS sequence
A0A3N8R214	A0A3N8R214	unreviewed	A0A3N8R214_9BURK	DNA-3-methyladenine glycosylase 2 family protein	DF037_12835	Burkholderia contaminans	494	UP000269271: Unassembled WGS sequence
A0A3N9WLM4	A0A3N9WLM4	unreviewed	A0A3N9WLM4_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DLJ59_17690	Micromonospora inaquosa	495	UP000282312: Unassembled WGS sequence
A0A3N9XIL0	A0A3N9XIL0	unreviewed	A0A3N9XIL0_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DLJ58_04620	Micromonospora arida	492	UP000266889: Unassembled WGS sequence
A0A3N9Y1B7	A0A3N9Y1B7	unreviewed	A0A3N9Y1B7_9ACTN	AraC family transcriptional regulator	DDE19_26915	Micromonospora ureilytica	405	UP000278981: Unassembled WGS sequence
A0A3P1TBX0	A0A3P1TBX0	unreviewed	A0A3P1TBX0_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EII34_03525	Arachnia propionica	481	UP000280819: Unassembled WGS sequence
A0A3P1WSW1	A0A3P1WSW1	unreviewed	A0A3P1WSW1_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EII35_07445	Arachnia propionica	481	UP000280935: Unassembled WGS sequence
A0A3P3F1H9	A0A3P3F1H9	unreviewed	A0A3P3F1H9_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EH244_00690 EJO66_03230	Variovorax beijingensis	534	UP000271137: Unassembled WGS sequence; UP000271590: Unassembled WGS sequence
A0A3P3QGK2	A0A3P3QGK2	unreviewed	A0A3P3QGK2_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EIK76_13415	Rheinheimera mesophila	467	UP000276260: Unassembled WGS sequence
A0A3P3VUC2	A0A3P3VUC2	unreviewed	A0A3P3VUC2_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EG850_08620	Gulosibacter macacae	540	UP000274391: Unassembled WGS sequence
A0A3P5XRE8	A0A3P5XRE8	unreviewed	A0A3P5XRE8_9MICC	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA PSET11_02618	Arthrobacter ulcerisalmonis	488	UP000280861: Unassembled WGS sequence
A0A3P8KI48	A0A3P8KI48	unreviewed	A0A3P8KI48_RAOTE	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA NCTC13098_02315	Raoultella terrigena (Klebsiella terrigena)	282	UP000274346: Chromosome 1
A0A3P8M9Q1	A0A3P8M9Q1	unreviewed	A0A3P8M9Q1_TSUPA	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA NCTC10741_00421	Tsukamurella paurometabola (Corynebacterium paurometabolum)	490	UP000271626: Chromosome 1
A0A3Q0KZW5	A0A3Q0KZW5	unreviewed	A0A3Q0KZW5_VIBVU	3-methyladenine DNA glycosylase	VV2_1208	Vibrio vulnificus (strain CMCP6)	461	UP000002275: Chromosome 2
A0A3Q8CHI6	A0A3Q8CHI6	unreviewed	A0A3Q8CHI6_9LACO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BSQ50_10290	Liquorilactobacillus nagelii	301	UP000324497: Chromosome
A0A3Q8U1E7	A0A3Q8U1E7	unreviewed	A0A3Q8U1E7_9PSED	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EJA05_12015	Pseudomonas entomophila	310	UP000268230: Chromosome
A0A3Q9BU63	A0A3Q9BU63	unreviewed	A0A3Q9BU63_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EJN92_08465	Undibacterium parvum	493	UP000275663: Chromosome
A0A3Q9C767	A0A3Q9C767	unreviewed	A0A3Q9C767_9ACTN	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	EJC51_37745	Streptomyces aquilus	490	UP000280197: Chromosome
A0A3Q9C7D4	A0A3Q9C7D4	unreviewed	A0A3Q9C7D4_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	EJC51_36885	Streptomyces aquilus	450	UP000280197: Chromosome
A0A3Q9FCC1	A0A3Q9FCC1	unreviewed	A0A3Q9FCC1_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	D5R55_28370	Burkholderia cenocepacia	490	UP000277191: Chromosome 3
A0A3Q9FXG1	A0A3Q9FXG1	unreviewed	A0A3Q9FXG1_STRLT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EKH77_25250	Streptomyces luteoverticillatus (Streptoverticillium luteoverticillatus)	498	UP000267900: Chromosome
A0A3Q9FZB2	A0A3Q9FZB2	unreviewed	A0A3Q9FZB2_STRLT	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EKH77_25940	Streptomyces luteoverticillatus (Streptoverticillium luteoverticillatus)	493	UP000267900: Chromosome
A0A3Q9J4Q1	A0A3Q9J4Q1	unreviewed	A0A3Q9J4Q1_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA CVS54_01077	Microbacterium oxydans	503	UP000274841: Chromosome
A0A3Q9K5I7	A0A3Q9K5I7	unreviewed	A0A3Q9K5I7_9ACTN	AraC family transcriptional regulator	DDE74_31200	Streptomyces lydicus	586	UP000275579: Chromosome
A0A3Q9KEJ0	A0A3Q9KEJ0	unreviewed	A0A3Q9KEJ0_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DDE74_33060	Streptomyces lydicus	490	UP000275579: Chromosome
A0A3Q9KFH4	A0A3Q9KFH4	unreviewed	A0A3Q9KFH4_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DDE74_37370	Streptomyces lydicus	506	UP000275579: Chromosome
A0A3Q9L2C2	A0A3Q9L2C2	unreviewed	A0A3Q9L2C2_STRGD	AraC family transcriptional regulator (DNA-3-methyladenine glycosylase 2 family protein)	DDJ31_30945 ELQ87_08390	Streptomyces griseoviridis	465	UP000271291: Chromosome; UP000501753: Chromosome
A0A3Q9L5E0	A0A3Q9L5E0	unreviewed	A0A3Q9L5E0_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	ELZ69_08400 ELZ75_08410 ELZ95_08400 ELZ96_08410	Salmonella enterica subsp. enterica serovar Moero	289	
A0A3Q9LH19	A0A3Q9LH19	unreviewed	A0A3Q9LH19_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	ELZ85_08565 ELZ87_08515	Salmonella enterica subsp. enterica serovar 43:a:1,7	289	
A0A3Q9MSR8	A0A3Q9MSR8	unreviewed	A0A3Q9MSR8_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EL007_08560 ELZ88_08555	Salmonella enterica subsp. enterica serovar Karamoja	289	
A0A3Q9NRR4	A0A3Q9NRR4	unreviewed	A0A3Q9NRR4_BREAU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	CXR23_10015	Brevibacterium aurantiacum	496	UP000283000: Chromosome
A0A3R0E348	A0A3R0E348	unreviewed	A0A3R0E348_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA ACV85_18150 CVB07_14865 F0D14_07170 F0H97_03460 F0M28_06510 F1J33_00575 F2J40_17600 F3595_15620 F3E81_12600 FRN02_00340 FRN09_05565 G0D51_03385 G0D80_13110 G1E46_08485 G1E55_08715 G1E64_05145 G1E86_08725 G1G55_08970 G1G93_03890 G1H01_08955 G1H24_09245 G1H40_08935 G1H47_00590 G1H60_05575 G1H61_22770 G1H91_04820 G1I18_03075 G3A03_09765 GB005_19965 MB64_13745 NCTC8271_02241 RU46_14005	Salmonella enterica I	289	UP000273655: Chromosome 1
A0A3R0QAB0	A0A3R0QAB0	unreviewed	A0A3R0QAB0_SALEN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DTI44_17255	Salmonella enteritidis	289	UP000839535: Unassembled WGS sequence
A0A3R0U0C3	A0A3R0U0C3	unreviewed	A0A3R0U0C3_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	BW885_12930 EBO93_07590	Salmonella enterica subsp. enterica serovar Haifa	289	
A0A3R0X242	A0A3R0X242	unreviewed	A0A3R0X242_SHIDY	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DRW31_06905	Shigella dysenteriae	282	UP000839527: Unassembled WGS sequence
A0A3R0XL73	A0A3R0XL73	unreviewed	A0A3R0XL73_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DRU74_08675	Salmonella enterica I	289	UP000885374: Unassembled WGS sequence
A0A3R1AZ79	A0A3R1AZ79	unreviewed	A0A3R1AZ79_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	D7N80_23785	Salmonella enterica I	289	UP000885348: Unassembled WGS sequence
A0A3R1CLM9	A0A3R1CLM9	unreviewed	A0A3R1CLM9_SALTM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	G0A56_02755	Salmonella typhimurium	289	
A0A3R8R6D2	A0A3R8R6D2	unreviewed	A0A3R8R6D2_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	CQW44_37755	Streptomyces griseofuscus	429	UP000276379: Unassembled WGS sequence
A0A3R8TR75	A0A3R8TR75	unreviewed	A0A3R8TR75_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EIP75_17845	Aquabacterium soli	521	UP000269265: Unassembled WGS sequence
A0A3R8VJ08	A0A3R8VJ08	unreviewed	A0A3R8VJ08_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EGJ28_04265	Stutzerimonas xanthomarina	294	UP000276506: Unassembled WGS sequence
A0A3R8Z6G1	A0A3R8Z6G1	unreviewed	A0A3R8Z6G1_ENTCL	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EGK68_01035	Enterobacter cloacae	290	UP000275321: Unassembled WGS sequence
A0A3R9B7X9	A0A3R9B7X9	unreviewed	A0A3R9B7X9_9BURK	DNA-3-methyladenine glycosylase 2 family protein	EGT41_26520	Burkholderia cenocepacia	492	UP000272140: Unassembled WGS sequence
A0A3R9DBI8	A0A3R9DBI8	unreviewed	A0A3R9DBI8_9PSEU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EIY87_45865	Amycolatopsis eburnea	486	UP000267081: Unassembled WGS sequence
A0A3R9DEI0	A0A3R9DEI0	unreviewed	A0A3R9DEI0_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EGT41_12245	Burkholderia cenocepacia	297	UP000272140: Unassembled WGS sequence
A0A3R9ENQ0	A0A3R9ENQ0	unreviewed	A0A3R9ENQ0_9PSEU	DNA-3-methyladenine glycosylase 2 family protein	EIY87_26870	Amycolatopsis eburnea	464	UP000267081: Unassembled WGS sequence
A0A3R9FPN0	A0A3R9FPN0	unreviewed	A0A3R9FPN0_9VIBR	DNA-3-methyladenine glycosylase 2 family protein	EJA03_09555	Vibrio pectenicida	454	UP000269041: Unassembled WGS sequence
A0A3R9GDK4	A0A3R9GDK4	unreviewed	A0A3R9GDK4_9ENTR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EGT71_03575	Atlantibacter subterraneus	284	UP000275331: Unassembled WGS sequence
A0A3R9Q6C4	A0A3R9Q6C4	unreviewed	A0A3R9Q6C4_9ENTR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA EJE24_00125 NGC28_12670	Enterobacter huaxiensis	290	UP000276389: Unassembled WGS sequence; UP001310558: Unassembled WGS sequence
A0A3S0I2Z0	A0A3S0I2Z0	unreviewed	A0A3S0I2Z0_9ENTR	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	C1O12_12500	Enterobacter hormaechei	290	UP000244004: Unassembled WGS sequence
A0A3S0J2G9	A0A3S0J2G9	unreviewed	A0A3S0J2G9_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EJP69_25910	Variovorax gossypii	536	UP000267418: Unassembled WGS sequence
A0A3S0KB81	A0A3S0KB81	unreviewed	A0A3S0KB81_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EKG39_21490	Shewanella atlantica	511	UP000282060: Unassembled WGS sequence
A0A3S0XUP0	A0A3S0XUP0	unreviewed	A0A3S0XUP0_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EJP67_23245	Variovorax guangxiensis	533	UP000281118: Unassembled WGS sequence
A0A3S1CT10	A0A3S1CT10	unreviewed	A0A3S1CT10_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	ELQ94_10205	Labedella endophytica	533	UP000274909: Unassembled WGS sequence
A0A3S3BR95	A0A3S3BR95	unreviewed	A0A3S3BR95_9NOCA	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EGT67_22735	Prescottella agglutinans	288	UP000286208: Unassembled WGS sequence
A0A3S3SBX8	A0A3S3SBX8	unreviewed	A0A3S3SBX8_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	ENE75_14570	Rubrivivax albus	485	UP000288178: Unassembled WGS sequence
A0A3S3UK04	A0A3S3UK04	unreviewed	A0A3S3UK04_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	EOT10_01650	Streptomyces antnestii	469	UP000283128: Unassembled WGS sequence
A0A3S4A6W2	A0A3S4A6W2	unreviewed	A0A3S4A6W2_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	ELQ90_02600	Labedella phragmitis	508	UP000288547: Unassembled WGS sequence
A0A3S4DV67	A0A3S4DV67	unreviewed	A0A3S4DV67_9MYCO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA MB901379_03545	Mycobacterium basiliense	498	UP000269998: Chromosome
A0A3S4H4K0	A0A3S4H4K0	unreviewed	A0A3S4H4K0_SERRU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA NCTC9419_00915	Serratia rubidaea (Serratia marinorubra)	492	UP000271603: Chromosome
A0A3S4K1E5	A0A3S4K1E5	unreviewed	A0A3S4K1E5_ECOLX	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA NCTC9044_05836 NCTC9702_02141	Escherichia coli	285	UP000271797: Chromosome 1; UP000277930: Chromosome 1
A0A3S4RL79	A0A3S4RL79	unreviewed	A0A3S4RL79_MYCCI	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA NCTC10485_01309	Mycolicibacterium chitae (Mycobacterium chitae)	505	UP000282551: Chromosome 1
A0A3S4UVF4	A0A3S4UVF4	unreviewed	A0A3S4UVF4_9ACTN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	adaA NCTC12967_02123	Arachnia propionica	483	UP000273044: Chromosome 1
A0A3S4VWH9	A0A3S4VWH9	unreviewed	A0A3S4VWH9_MYCAU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA NCTC10437_04059	Mycolicibacterium aurum (Mycobacterium aurum)	496	UP000279306: Chromosome
A0A3S5Y847	A0A3S5Y847	unreviewed	A0A3S5Y847_RHOH1	mRNA (2'-O-methyladenosine-N6-)-methyltransferase Ada	ada REQ_26480	Rhodococcus hoagii (strain 103S) (Rhodococcus equi)	486	UP001154400: Chromosome
A0A3S5YCX4	A0A3S5YCX4	unreviewed	A0A3S5YCX4_RHOH1	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	REQ_44550	Rhodococcus hoagii (strain 103S) (Rhodococcus equi)	270	UP001154400: Chromosome
A0A3S5YJ39	A0A3S5YJ39	unreviewed	A0A3S5YJ39_SALER	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	P298_17040	Salmonella enterica subsp. arizonae serovar 18:z4,z23:- str. CVM N26626	289	UP000868500: Unassembled WGS sequence
A0A3S7S5A6	A0A3S7S5A6	unreviewed	A0A3S7S5A6_9GAMM	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	EpCFBP13511_22995 IFT93_13495	Erwinia persicina	486	UP000306393: Unassembled WGS sequence; UP000661012: Unassembled WGS sequence
A0A3S9MNQ9	A0A3S9MNQ9	unreviewed	A0A3S9MNQ9_9ACTN	DNA-3-methyladenine glycosylase 2 family protein	EJ357_36790	Streptomyces cyaneochromogenes	466	UP000280298: Chromosome
A0A3S9MNT5	A0A3S9MNT5	unreviewed	A0A3S9MNT5_9ACTN	Probable bifunctional transcriptional activator/DNA repair enzyme AlkA (EC 2.1.1.n11) (EC 3.2.2.21) (Regulatory protein AlkA)	EJ357_38495	Streptomyces cyaneochromogenes	489	UP000280298: Chromosome
A0A3S9NAB1	A0A3S9NAB1	unreviewed	A0A3S9NAB1_9BURK	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	D5R55_17440	Burkholderia cenocepacia	319	UP000277191: Chromosome 1
A0A3S9W7Q4	A0A3S9W7Q4	unreviewed	A0A3S9W7Q4_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA_1 CVS47_00633	Microbacterium lemovicicum	496	UP000276888: Chromosome
A0A3T0JYZ2	A0A3T0JYZ2	unreviewed	A0A3T0JYZ2_PSESX	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	CT157_22285	Pseudomonas syringae	283	UP000282760: Chromosome
A0A3T0T1C5	A0A3T0T1C5	unreviewed	A0A3T0T1C5_9MICO	AraC family transcriptional regulator	C1I64_10020	Rathayibacter festucae DSM 15932	489	UP000285317: Chromosome
A0A3T0T2N0	A0A3T0T2N0	unreviewed	A0A3T0T2N0_9MICO	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	C1I64_12865	Rathayibacter festucae DSM 15932	280	UP000285317: Chromosome
A0A3T2UV98	A0A3T2UV98	unreviewed	A0A3T2UV98_SHIFL	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DK174_10140	Shigella flexneri	285	UP000839563: Unassembled WGS sequence
A0A3T2WDK9	A0A3T2WDK9	unreviewed	A0A3T2WDK9_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA GB313_03765 GB401_00555 GBV37_00555 GBY05_04590	Salmonella enterica subsp. enterica serovar Orion	289	
A0A3T2YKS3	A0A3T2YKS3	unreviewed	A0A3T2YKS3_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA A4I59_17510 ATT75_20200 B9668_07165 BZZ78_02735 CC707_13995 DNP18_02775 DOI44_12130 DVF77_03430 EVY66_18665 G9X39_003225	Salmonella enterica subsp. enterica serovar Panama	289	UP000319682: Unassembled WGS sequence; UP000839597: Unassembled WGS sequence
A0A3T3EUK6	A0A3T3EUK6	unreviewed	A0A3T3EUK6_SALMU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA A9M81_09960 AH439_01025 AHW29_14685 B6J96_09245 B7588_13010 B8Y53_18515 BCP69_06150 BCP87_14600 BI268_13625 BOI57_12505 BZ227_00660 CEY82_06590 DML98_01900 DNZ40_02010 DP785_02170 DSR33_03450 DTU56_03890 DY550_05690 E0Y79_13260 EJP10_10805 EWD41_03775 EZ693_03920 F9G82_12265 FG699_016650 FGI95_09695 G0D57_09795 G3328_001033 G4B39_002875 G4B42_000135 G4D12_003848 G4L24_002677 G4P04_003402 G9G20_000133 GB227_10295 GNB45_003080 ZU22_14570	Salmonella muenchen	289	UP000318962: Unassembled WGS sequence
A0A3T3IM34	A0A3T3IM34	unreviewed	A0A3T3IM34_SALDU	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA AA326_08220 AAG96_10500 ASP09_11960 B5Q64_00550 DQQ75_08935 DYM17_12560 E5H40_15975 EHB47_08180 EJP12_07485 EP077_07065 FBH21_02200 G0B14_17750 G3A02_05715 G4B41_000504 G4G51_000767 GB127_14970 GB128_10250 GB155_12895 GB329_11205 GB377_13855 GB457_03290 GB562_01945 GBX69_07055	Salmonella dublin	289	UP000839890: Unassembled WGS sequence
A0A3T4FKB3	A0A3T4FKB3	unreviewed	A0A3T4FKB3_SALEN	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	DUU06_05725	Salmonella enteritidis	289	
A0A3T5JWE2	A0A3T5JWE2	unreviewed	A0A3T5JWE2_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA TE27_13015	Salmonella enterica I	289	
A0A3T5MX47	A0A3T5MX47	unreviewed	A0A3T5MX47_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA G2946_14190 G2949_11560 GB000_10275 GB058_00895 GB197_05465 GB225_12435 GB245_10180 GB336_10005 GB407_14010 GB443_13885 GB530_08535 GBV38_06375 GBV52_13925 GBV65_10835 GBV69_10880 GBW17_15240 GBW39_11835 GBW51_10180 GBX03_13600 GBY31_12070	Salmonella enterica I	289	
A0A3U2RVR2	A0A3U2RVR2	unreviewed	A0A3U2RVR2_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA GB248_16975	Salmonella enterica I	289	
A0A3U2TRD2	A0A3U2TRD2	unreviewed	A0A3U2TRD2_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA AXN36_08440	Salmonella enterica I	289	
A0A3U3Q7B1	A0A3U3Q7B1	unreviewed	A0A3U3Q7B1_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	RU16_17760	Salmonella enterica I	289	
A0A3U7JTA3	A0A3U7JTA3	unreviewed	A0A3U7JTA3_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA GB173_12585 GB201_13285 GJ28_07875	Salmonella enterica subsp. enterica serovar Give	289	
A0A3U7SWP7	A0A3U7SWP7	unreviewed	A0A3U7SWP7_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	G1H82_08380	Salmonella enterica I	289	
A0A3U8ZNN6	A0A3U8ZNN6	unreviewed	A0A3U8ZNN6_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA F3P74_11440 F3Q63_10475 F3Q64_12165	Salmonella enterica I	289	
A0A3V2G1Q2	A0A3V2G1Q2	unreviewed	A0A3V2G1Q2_SALET	DNA-3-methyladenine glycosylase II (EC 3.2.2.21)	alkA A4W49_14600 A4W57_14450 AIK92_14770 ASH82_09920 CB395_12210 D6J51_14850 D6K67_15880 DKU10_18050 DOJ23_21050 DP829_16315 DPJ44_15515 DPS10_14565 DQQ63_08690 DY868_17030 EUX26_19580 F9G64_11620 G0D76_07080 G3408_001316 G4B28_001253 G4B35_001512 G4I58_000694 G4I61_002772 G4L02_003906 G4Y23_003882 G9C15_003505 GCZ77_06535	Salmonella enterica subsp. enterica serovar Braenderup	289	UP000885308: Unassembled WGS sequence
